product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
3838960000000.00,AMOKSIKLAV,Amoxicillin and Clavulanate,AMOKSIKLAV TABS 625MG X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1450,,14,7
15249.00,AMOVIN,Amoxicillin and Clavulanate,AMOVIN TABS 1G X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1500,,14,7
8906040000000.00,AMOVIN,Amoxicillin and Clavulanate,AMOVIN TABS 625MG X 14,Pharmacy,TABLETS,BLISTER,Penicillins,1455,,14,7
1008935.00,AMOXICILLIN,Amoxicillin,AMOXICILLIN (MULTICOY)  CAPS 250MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,1400,,100,10
1008936.00,AMOXICILLIN,Amoxicillin,AMOXICILLIN (MULTICOY)  CAPS 500MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,1850,,100,10
6008752.00,AMOXICILLIN,Amoxicillin,AMOXICILLIN (MULTICOY)  INJ 500MG X 10,Pharmacy,INJECTION (SOLUTION),VIALS,Penicillins,2050,,10,1
8901040000000.00,AMOXIL,Amoxicillin,AMOXIL (BE)  CAPS 500MG X 12,Pharmacy,CAPSULES,BLISTER,Penicillins,590,WWCVL (GSK),12,4
8901040000000.00,AMOXIL,Amoxycillin,AMOXIL (BECM)  CAPS 500MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,5400,WWCVL (GSK),100,10
8901040000000.00,AMOXIL,Amoxycillin,AMOXIL (BEECHAM)  CAPS 250MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,2932,WWCVL (GSK),100,10
1000620.00,AMPICILLIN,Ampicillin,AMPICILLIN  250MG CAP X 100 (MULTI COY),Pharmacy,CAPSULES,BLISTER,Penicillins,1300,,100,10
1007891.00,AMPICILLIN (MAYDON),Ampicillin,AMPICILLIN (MAYDON) CAPS 250MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,815,MAYDON PHARMACEUTICALS & CHEMICAL CO.LTD,100,10
6941390000000.00,AMPICILLIN,Ampicillin,AMPICILLIN (REICHLIN)  CAPS 500MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,490,,100,10
6156150000000.00,AMPICILLIN/CLOXACILLIN(MULTICOY),Ampicillin and Cloxacillin,AMPICILLIN/CLOXACILLIN(MULTICOY) CAPS 500MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,1950,,100,10
1000289.00,AMPICLOX ,Ampicillin and Cloxacillin,AMPICLOX  (BEECHAM)  CAPS 500MG X 100,Pharmacy,CAPSULES,BLISTER,Penicillins,6900,WWCVL (GSK),100,10
,amzak,,AMZAK TABS 5MG X 50,Pharmacy,TABLETS,BLISTER,,550,,50,10
,ANACIN,,ANACIN TABS 300MG X 144,Pharmacy,TABLETS,SACHET,,1100,,144,1
1002237.00,ANAFRANIL,,ANAFRANIL TABS 25MG X 30,Pharmacy,TABLETS,BLISTER,,3000,,30,10
,ANAFRANIL,,ANAFRANIL TABS 25MG X 40,Pharmacy,TABLETS,PACK,,4500,E-MEC IMPEX COMPANY LTD,40,20
