product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
1002762,LOSIUM,,LOSIUM TABS 50MG X 28,Pharmacy,TABLETS,BLISTER,,1345,,28,14
6011282,LOTAN -H,,LOTAN -H TABS 50/12.5 X 30,Pharmacy,TABLETS,BLISTER,,1000,,30,10
6010250,LOTAN,,LOTAN TABS 100MG X 30,Pharmacy,TABLETS,BLISTER,,2150,,30,10
1001797,LOTAN,,LOTAN TABS 50MG X 30,Pharmacy,TABLETS,BLISTER,,1850,,30,10
1001876,LOTEMP,,LOTEMP TABS 500MG X 96,Pharmacy,TABLETS,BLISTER,,320,,96,12
1001711,LOTRIAL,,LOTRIAL TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,2500,,30,10
1002935,LOTRIAL,Enalapril,LOTRIAL TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,1610,,30,10
1001773,LOVEMATE,,LOVEMATE CONDOMS  X 48,Pharmacy,GUMMIES,PACK,,3175,,48,3
1002320,LOXAGYL,,LOXAGYL TABS 200MG X 100,Pharmacy,TABLETS,BLISTER,,445,,100,10
1002319,LOXAGYL,,LOXAGYL TABS 400MG X 100,Pharmacy,TABLETS,BLISTER,,775,,100,10
1001041,Loxaprim,,LOXAPRIM TABS 480MG X 100,Pharmacy,TABLETS,BLISTER,,490,,100,10
6012486,Lozatan (TEVA),,LOZATAN (TEVA) TABS 25MG X 30,Pharmacy,TABLETS,BLISTER,,1680,,30,10
1007728,LOZATAN H,,LOZATAN H TABS  X 30,Pharmacy,TABLETS,BLISTER,,2625,,30,10
1002616,LOZATAN,,LOZATAN TABS 25MG X 30,Pharmacy,TABLETS,BLISTER,,1245,,30,10
1002615,LOZATAN,,LOZATAN TABS 50MG X 30,Pharmacy,TABLETS,BLISTER,,2610,,30,10
1008872,LOZATAN(TEVA),,LOZATAN(TEVA) TABS 100MG X 28,Pharmacy,TABLETS,BLISTER,,2035,,28,2
6013142,LUMEGIL,,LUMEGIL TABS  X 30,Pharmacy,TABLETS,BLISTER,,1400,,30,10
6011587,LYCOSET,,LYCOSET CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,1650,,30,10
